"administratiefgebiedid";"administratiefgebied";"hyperlink";"importdir"
1;aa en maas;;aaenmaas
2;amstel gooi en vecht;;amstelgooienvecht
3;brabantse delta;;brabantsedelta
4;delfland;;delfland
5;dommel;;dedommel
22;drents overijsselse delta;;drentsoverijsselsedelta
8;hollandse delta;;hollandsedelta
7;hollands noorderkwartier;;hollandsnoorderkwartier
9;hunze en aas;;hunzeenaas
10;noorderzijlvest;;noorderzijlvest
12;rijn en ijssel;;rijnenijssel
13;rijnland;;rijnland
14;rivierenland;;rivierenland
19;scheldestromen;;scheldestromen
16;schieland en krimpenerwaard;;schielandendekrimepenerwaard
17;stichtse rijnlanden;;stichtserijnlanden
20;vallei en veluwe;;valleienveluwe
21;vechtstromen;;vechtstromen
6;fryslan;;wetterskipfryslan
18;zuiderzeeland;;zuiderzeeland
11;limburg;;limburg
