"file_name";"table_name";"objectpath";
aquaduct;aquaduct;nhi:Aquaduct;
bijzonderhydraulischobject;bijzonderhydraulischobject;nhi:BijzonderHydraulischObject
bodemval;bodemval;nhi:Bodemval;
brug;brug;nhi:Brug;
duikersifonhevel;duikersifonhevel;nhi:DuikerSifonHevel;
gemaal;gemaal;nhi:Gemaal;
grondwaterkoppellijn;grondwaterkoppellijn;nhi:GrondwaterKoppelLijn;
grondwaterinfolijn;grondwaterinfolijn;nhi:GrondwaterInfoLijn;
grondwaterkoppelpunt;grondwaterkoppelpunt;nhi:GrondwaterKoppelPunt;
grondwaterinfopunt;grondwaterinfopunt;nhi:GrondwaterInfoPunt;
hydrologischerandvoorwaarde;hydrologischerandvoorwaarde;nhi:HydrologischeRandvoorwaarde;
hydroobject;hydroobject;nhi:HydroObject;
lateraleknoop;lateraleknoop;nhi:LateraleKnoop;
meetlocatie;meetlocatie;nhi:Meetlocatie;
peilafwijkinggebied;peilafwijkinggebied;nhi:PeilafwijkingGebied;
peilgebiedpraktijk;peilgebiedpraktijk;nhi:PeilgebiedPraktijk;
stuw;stuw;nhi:Stuw;
sturing;sturing;nhi:Sturing;
meetwaardeactiewaarde;meetwaardeactiewaarde;nhi:MeetwaardeActiewaarde
afvoeraanvoergebied;afvoeraanvoergebied;nhi:AfvoergebiedAanvoergebied;
doorstroomopening;doorstroomopening;nhi:Doorstroomopening;
normgeparametriseerdprofiel;normgeparametriseerdprofiel;nhi:NormGeparamProfiel;
metingprofiellijn;metingprofiellijn;nhi:MetingProfielLijn;
metingprofielpunt;metingprofielpunt;nhi:MetingProfielPunt;
pomp;pomp;nhi:Pomp;
streefpeil;streefpeil;nhi:Streefpeil;
afsluitmiddel;afsluitmiddel;nhi:Afsluitmiddel;
